Rate,Review,Label
4.0, Mình thề là mình ko thể cảm nổi đồ ăn ở aeon mall Mình đã thử ăn từ nhà hàng đến food Ko có j ngon Sushi ăn tanh May mua có mấy miếng chứ mua hộp to chắc vứt đi Quảng cáo thì rõ rầm rộ xong khen lồng khen lộn lên Nhìn rõ đẹp chỉ phù hợp với sống ảo,-1
3.8, Đôi khi thèm lên là bất chấp nắng nóng phi Và bao giờ sang cũng chỉ đóng đô ở quầy food court Đồ ăn giá cả rẻ so với chất Hy vọng đồ của Nhật thì vệ sinh dc đảm Shushi nhiều có cả Quầy gà thì theo cảm nhận là ngon và k bị bở như Kem trà xanh ăn cảm giác chất Gần đây thì mình chuyển sang hâm mộ quầy cơm Đồ ăn bình dân thôi nhưng thấy nấu hợp khẩu đầy đặn mà k đắt hơn quán xá lề đường là,-1
3.8, Ngõ treo biển cafe trứng đúng kiểu phố cổ hà nội rất sâu và nhỏ tẹo vừa đủ người đi và đầu có thể chạm trần tuy nhiên quán thì nằm cách vài đông nghẹt nên k ngồi cảm nhận đc gì mấy nhưng chứng tỏ cfe ngon hoặc quán nổi quá nên khách đông,-1
3.8, Mình thấy địa chỉ cafe Giảng ở Nguyễn Hữu Huân chỉ ngon hồi ngày xưa còn bây giờ thì chán lẽ bây giờ quán này tập trung mạnh quảng cáo nên không còn giữ được chất không rộng ngồi ở tầng hơi cả những lúc đông hay ngồi ở mình chẳng cảm nhận thấy nơi này còn lưu giữ chút gì của ngày có chăng chỉ là cái viên phục vụ nhanh nhưng cũng không kéo lại được cảm tình mình dành cho vì điều mình đánh giá cao nhất ở một nhà hàng là chất lượng đồ thức uống của họ thì nơi này đã đánh mất,-1
2.2, Mình là người Hà Nội và cũng cực kỳ khó tính trong chuyện ăn Nhà mình ở phố Hàng ngay gần quán cafe cũ của Giảng trước khi anh em nhà họ tách ra làm Về chất ngày xưa ở Giảng Nguyễn Hữu Huân vẫn giữ được nhưng về sau do quảng cáo thêm nữa có anh con rể là phóng quan hệ rộng nên có thêm nhiều khách nhưng điều quan trọng nhất là chất lượng thì đi Đến quán Giảng này nhưng mình cảm giác là đang uống ở một nơi nào chứ không phải quán cafe Giảng nổi tiếng ở Hà Nội khi bao giờ mình quay lại quán Khi tụ tập bạn bè hoặc dẫn khách ở xa tới Hà mình toàn đưa lên Giảng ở Yên Phụ cho đúng chất Hà,-1
3.4, Mình là một người khá khó tính trong chuyện ăn theo mọi người nhận xét là sành Nhà cũ của mình ở ngay Hàng cách quán cũ của Giảng số Hàng một Khi Giảng tách ra thành địa lúc đó mình mới đủ tuổi được uống cafe và từng đến cả quán mới để thưởng mình thích hương vị của Giảng ở Nguyễn Hữu Huân hồi đầu Giờ quán thiên về quảng cáo theo cảm nhận của bản thân mình thì mất đi phần nào đó hương vị của ngày xưa tại mình khó rồi mình không còn quay lại đây Khi giới thiệu cho bạn bè hoặc mỗi khi tụ mình toàn ra quán Giảng ở Yên Phụ,-1
3.8, Giá phù hợp sinh viên học cơ mà lần đầu tiên đến cơ sở Tạ Quang Bửu thì thái độ phục vụ quá kém kiểu giống như muốn làm gì thì tự đi mà tao chỉ có việc đưa đồ ra đồ ăn thì ngon đấy nhưng phục vụ chán lắm luôn,-1
1.0, Mình đặt hàng cốc từ quán xác nhận đơn hàng mà đến giờ đã hẹn thấy mình gọi điện hỏi thì kêu huỷ đơn Quá Trong khi order yêu cầu phải nhắn tin để xác nhận xong vẫn nhầm lẫn loạn Bó tay,-1
1.0, Mếu tìm tkấy,-1
4.0, Hôm nay đi dạo qua nổi hứng muốn thử kem ốc quế vì trước nay chỉ mới thử kem que ở Tràng Tiền viên thì ko thân thiện mà cứ chậm Nhưng thất vọng nhất là kem vị cacao vị ngọt lờ chẳng có vị cacao Kem cũng rất rất nhanh kiểu mềm Ốc quế ko ăn cứng thể lại cho một cây kem ốc quế vị dở tệ là ko chấp nhận đc đối với một thương hiệu nổi tiếng như Nói chung từ nay mình sẽ chỉ trung thành với Bodega gần chất lượng gấp đôi mà giá thành rẻ gần nửa,-1
1.4, Đang định có thiện cảm vì kem ốc quế lại ngon và giòn như trước thì lúc mua kem que sữa dừa và đậu xanh là cây mà cô mình giọng đưa tờ chỉ đưa lại ko trả lại thật sự thật xấu hổ thay cho đấy là người VN với còn ko biết với khách du lịch họ còn thịt bao nhiêu Lúc ăn kem chanh ở Thuỷ Tạ cô bán hàng từ chối bán vì ko đủ tiền trả mình rất bực nhưng thà như vậy khéo còn tốt hơn là những người như à nói nốt là sau đó mình đã cố gắng tìm tờ mệnh giá nhỏ hơn và cô ấy bán kem haizzz,-1
3.6, Kem ở đây không có j đăc biệt so với ở SGon giá ko kem ko khác mấy chỗ khác nếu không nói là dở mà sao mọi ng ùn ùn mua hix hix,-1
3.8, Kem ở đây không còn như ngày xưa nữa ngay từ hương vị cho đến chất Không biêys có phải số đen k mà hôm bọn mình ăn cái nào cũng đá,-1
4.0, Đợt trước cuồng kem tươi ở đây bâyh thấy kem ốc quế thường còn ngon hơn kem tươi Mình gọi kem tươi vị vani ăn nhạt nhẽo mà kem chảy nhanh lúc chảy ra tay thấy màu trắng nhạt nhạt huhu lần sau không ăn kem tươi nữa ạ,-1
3.4, Một địa chỉ lâu đời và là một trong những điển hình của tuy nhiên chỉ có ai đã từng nhìn thấy nguyên liệu chính để làm kem Tràng Tiền thì chắc ko còn dám ăn Nguyên liệu là bột sữa toàn chữ TQ và thường được vận chuyển vào ban Bột sữa k nhãn mác này làm cho hương vị kem luôn béo ngậy đánh lừa người Kể cả kem bodega hay kem hồ tây cũng dùng chung loại bột,-1
4.0, Hôm nay trời Hà Nội se mưa Do lâu rồi không ăn kem Tràng Tiền nên mình cùng một người bạn tạt qua làm cái kem ốc Hôm nay có vẻ vắng vừa vào đã có người nhắc tắt máy dắt Vào trong không khí hơi ngột ngạt một toàn một mùi Mình và người bạn mua chiếc ốc quế nhưng có vẻ như bây giờ kem nhanh chảy hơn trước nhưng mùi vị thì vẫn Có điều nhân viên bán hàng không thân thiện cởi Mình mua cái hết đưa mà chỉ trả lại Nếu không có tiền trả lại thì ít ra cũng nói một đây lại chẳng nói năng gì cả lơ đi Khó chịu với cái thái độ,-1
