Rate,Review,Label
5.0, Vào khu này là xác định lăn về r đồ ăn phong quá nhiều loại để chọn cả ngọt cả mặn giá cả hợp lý đồ ăn luôn nóng kiểu mới ra lò xong ý khu bánh ngọt cũng rất nhiều loại đặc biệt là những loại liên quan đến matcha ah đến đây là phải thử kem trà xanh nổi tiếng nhiều lúc đông người ta làm k xếp hàng đợi mãi mới ăn đc cây kem mới thỏa mãn phục vụ cũng nhanh nhiệt tình,0
4.8, Đồ ăn đa cả rẻ hợp phải tự phục ngồi thì nta ăn xog mình ra tự dọn r so với giá cả nvậy thì chấp nhận,0
5.0, Quầy sushi trứ danh ở Aeon các nhiều loại đa dạng riêng từng cái là có cả mua theo set nữa nhưng mình chưa có không ăn được đồ tươi sống nên cũng không thử được rất mong đợi cái cơm tam giác của Aeon nhưng thật sự đáng thất tiền cũng ngang ngang Circle K nhưng chất lượng biết các bạn thế nào chứ mình thấy chẳng có tí thử một cái thấy chán mà nhỡ mua nhiều nên đành về nhà bỏ chảo rang vì mình thực sự ghét cơm những cái đấy ra thì Aeon rất cả ngày không ă kem matcha ở nổi cạnh quầy sushi còn có quầy đồ lại cũng nhiều đồ chưa thử nên sẽ quay,-1
5.0, Hơi,0
5.0, Ngon nhưng đông và,0
5.0, HN lại đón gió mùa sau mấy ngày nắng ấm mà cái thời tiết này được ngồi ăn sáng uống cốc cà phê thì phê thiệt là phê nhớ đến món cà phê trứng mình uống từ cuối năm Lòng đỏ trứng gà ta thêm chút mật ong rừng đánh thật bông Thoang thoảng mùi thơm của mùi ngọt của mật Phía dưới là cà phê đen hãm đặc uống một ngụm cà phê lẫn lớp kem trứng béo cảm nhận cái đắng mà ngọt giữa mùa đông Hà đã thử loại cà phê trứng và cacao ở Về mặt hình thức thì không có gì đặc Phần kem trứng thì quá ngọt so với khẩu vị của đầu tiên uống cà phê trứng là ở đây nhưng có vẻ chưa đáp ứng được kì vọng của mình,0
5.0, Nếu ở đây chỉ uống mỗi cafe trứng và nhau hướng dương thôi thì Vì cafe trứng ở đây rất Các thức uống còn lại thì bình Mỗi tội ngồi mãi trong nhà cứ thấy bí bí,0
5.0, Cafe trứng nóng,0
4.8, Quán bé tẹo mà quá đông thành ra chật ko chịu Chưa kể ko hiểu vì sao bây giờ vẫn hot theo cảm nhận của mình là cafe ko đặc sắc như mọi người vẫn Mình cũng từng uống Giảng ở Yên Phụ và cảm nhận cũng như Có điều ko gian ở bên YP thoáng hơn so với ở Phục vụ cũng chậm chạp và rất,-1
4.2, Cafe rất giá cả Không gian quán nhỏ bàn với mình thì không thích hợp ngồi Ngoài ra phục vụ không nhiệt bê cafe ra nếu muốn xin gạt tàn hay nước lọc thì lơ,-1
5.0, Không gian ấm cà phê nâu thơm ngon còn cà phê trứng hết Điểm cộng nữa là có nhạc hay và nhiều tranh ảnh Còn điểm trừ chắc là vào ngày cuối tuần siêu đông,0
5.0, Cafe rất mang hương vị lạ,0
5.0, Mình thấy nơi đây thực rất bình nhìn hình cốc thì tưởng hoá ra bé tí ti Tính ra giá cả khá Không hiểu sao lại hot cười quả anh phục vụ như robot mặt lừ lừ k cảm xúc kiểu,-1
5.0, mà làm như trên hình ảnh thì không thể nổi vì,0
5.0, Suốt thời sinh viên là ra đây ăn Quán rất nhiều thực đơn da phục vụ nhanh nhưng tên món khá dài và vẫn hay lẫn Mức giá sinh viên mà bát chè khá to và,1
